network,scan,step,filter,aggregation,model,generation_time
merged_f1_t10,merged,10,1,0,NETSPA,0.2465080999827478
merged_f1_t10,merged,10,1,0,TVA,0.14317480000318028
merged_f1_t10,merged,10,1,0,MULTI,0.38374560000374913
merged_f1_t0,merged,0,1,0,NETSPA,0.24341280001681298
merged_f1_t0,merged,0,1,0,TVA,0.14519989999826066
merged_f1_t0,merged,0,1,0,MULTI,0.3966710999957286
merged_f1_t100,merged,100,1,0,NETSPA,0.24283899998408742
merged_f1_t100,merged,100,1,0,TVA,0.15258349999203347
merged_f1_t100,merged,100,1,0,MULTI,0.4194296000059694
merged_f1_t10,merged,10,1,1,NETSPA,0.07153839999227785
merged_f1_t10,merged,10,1,1,TVA,0.07029699999839067
merged_f1_t10,merged,10,1,1,MULTI,0.16616640001302585
merged_f1_t0,merged,0,1,1,NETSPA,0.06572009998490103
merged_f1_t0,merged,0,1,1,TVA,0.0796381999971345
merged_f1_t0,merged,0,1,1,MULTI,0.17421689999173395
merged_f1_t100,merged,100,1,1,NETSPA,0.07877570000709966
merged_f1_t100,merged,100,1,1,TVA,0.07316629998967983
merged_f1_t100,merged,100,1,1,MULTI,0.1614551999955438
merged_f1_t10,merged,10,1,2,NETSPA,0.05965660000219941
merged_f1_t10,merged,10,1,2,TVA,0.14644139999290928
merged_f1_t10,merged,10,1,2,MULTI,0.06749419998959638
merged_f1_t0,merged,0,1,2,NETSPA,0.05206319998251274
merged_f1_t0,merged,0,1,2,TVA,0.13899609999498352
merged_f1_t0,merged,0,1,2,MULTI,0.06406400000560097
merged_f1_t100,merged,100,1,2,NETSPA,0.06397979997564107
merged_f1_t100,merged,100,1,2,TVA,0.14039410001714714
merged_f1_t100,merged,100,1,2,MULTI,0.0699550999852363
merged_f1_t10,merged,10,1,3,NETSPA,0.05618420001701452
merged_f1_t10,merged,10,1,3,TVA,0.15152069999021478
merged_f1_t10,merged,10,1,3,MULTI,0.0703085999994073
merged_f1_t0,merged,0,1,3,NETSPA,0.06414900001254864
merged_f1_t0,merged,0,1,3,TVA,0.1689843999920413
merged_f1_t0,merged,0,1,3,MULTI,0.05780599999707192
merged_f1_t100,merged,100,1,3,NETSPA,0.055123799975262955
merged_f1_t100,merged,100,1,3,TVA,0.14450100000249222
merged_f1_t100,merged,100,1,3,MULTI,0.06289629999082536
merged_f1_t110,merged,110,1,0,NETSPA,0.20802150000235997
merged_f1_t110,merged,110,1,0,TVA,0.13450849999208003
merged_f1_t110,merged,110,1,0,MULTI,0.2355237000156194
merged_f1_t130,merged,130,1,0,NETSPA,0.20050130001618527
merged_f1_t130,merged,130,1,0,TVA,0.12552079997840337
merged_f1_t130,merged,130,1,0,MULTI,0.2508007000142243
merged_f1_t120,merged,120,1,0,NETSPA,0.2121886000095401
merged_f1_t120,merged,120,1,0,TVA,0.1578033000114374
merged_f1_t120,merged,120,1,0,MULTI,0.26791039999807253
merged_f1_t110,merged,110,1,1,NETSPA,0.06313799999770708
merged_f1_t110,merged,110,1,1,TVA,0.15651870000874624
merged_f1_t110,merged,110,1,1,MULTI,0.08671629999298602
merged_f1_t130,merged,130,1,1,NETSPA,0.05850459999055602
merged_f1_t130,merged,130,1,1,TVA,0.1640276999969501
merged_f1_t130,merged,130,1,1,MULTI,0.10841769998660311
merged_f1_t120,merged,120,1,1,NETSPA,0.08570369999506511
merged_f1_t120,merged,120,1,1,TVA,0.16071900000679307
merged_f1_t120,merged,120,1,1,MULTI,0.09358139999676496
merged_f1_t110,merged,110,1,2,NETSPA,0.06654440000420436
merged_f1_t110,merged,110,1,2,TVA,0.11990890000015497
merged_f1_t110,merged,110,1,2,MULTI,0.05519000001368113
merged_f1_t130,merged,130,1,2,NETSPA,0.06455640000058338
merged_f1_t130,merged,130,1,2,TVA,0.11904330001561902
merged_f1_t130,merged,130,1,2,MULTI,0.06197949999477714
merged_f1_t120,merged,120,1,2,NETSPA,0.054351700004190207
merged_f1_t120,merged,120,1,2,TVA,0.11461969997617416
merged_f1_t120,merged,120,1,2,MULTI,0.05505650001578033
merged_f1_t110,merged,110,1,3,NETSPA,0.11869000000297092
merged_f1_t110,merged,110,1,3,TVA,0.06190919998334721
merged_f1_t110,merged,110,1,3,MULTI,0.05198819999350235
merged_f1_t130,merged,130,1,3,NETSPA,0.11912099999608472
merged_f1_t130,merged,130,1,3,TVA,0.054624699987471104
merged_f1_t130,merged,130,1,3,MULTI,0.05875009999726899
merged_f1_t120,merged,120,1,3,NETSPA,0.1142272999859415
merged_f1_t120,merged,120,1,3,TVA,0.05065910000121221
merged_f1_t120,merged,120,1,3,MULTI,0.04946060001384467
merged_f1_t140,merged,140,1,0,NETSPA,0.16254550000303425
merged_f1_t140,merged,140,1,0,TVA,0.13068170001497492
merged_f1_t140,merged,140,1,0,MULTI,0.25767130000167526
merged_f1_t150,merged,150,1,0,NETSPA,0.1831127000041306
merged_f1_t150,merged,150,1,0,TVA,0.13692920000175945
merged_f1_t150,merged,150,1,0,MULTI,0.28102840000065044
merged_f1_t160,merged,160,1,0,NETSPA,0.17790079998667352
merged_f1_t160,merged,160,1,0,TVA,0.13548420000006445
merged_f1_t160,merged,160,1,0,MULTI,0.29370149999158457
merged_f1_t140,merged,140,1,1,NETSPA,0.07177660000161268
merged_f1_t140,merged,140,1,1,TVA,0.14668089998303913
merged_f1_t140,merged,140,1,1,MULTI,0.09951850000652485
merged_f1_t150,merged,150,1,1,NETSPA,0.07935350001207553
merged_f1_t150,merged,150,1,1,TVA,0.1619788999960292
merged_f1_t150,merged,150,1,1,MULTI,0.09274630001164041
merged_f1_t160,merged,160,1,1,NETSPA,0.062157100008334965
merged_f1_t160,merged,160,1,1,TVA,0.15540460002375767
merged_f1_t160,merged,160,1,1,MULTI,0.10036589999799617
merged_f1_t140,merged,140,1,2,NETSPA,0.13731769999139942
merged_f1_t140,merged,140,1,2,TVA,0.06220200000097975
merged_f1_t140,merged,140,1,2,MULTI,0.07042400000500493
merged_f1_t150,merged,150,1,2,NETSPA,0.14600310000241734
merged_f1_t150,merged,150,1,2,TVA,0.08706409999285825
merged_f1_t150,merged,150,1,2,MULTI,0.06703540001763031
merged_f1_t160,merged,160,1,2,NETSPA,0.1470950999937486
merged_f1_t160,merged,160,1,2,TVA,0.08264930002042092
merged_f1_t160,merged,160,1,2,MULTI,0.07398960000136867
merged_f1_t140,merged,140,1,3,NETSPA,0.15425839999807067
merged_f1_t140,merged,140,1,3,TVA,0.05908819998148829
merged_f1_t140,merged,140,1,3,MULTI,0.14658659999258816
merged_f1_t160,merged,160,1,3,NETSPA,0.14408909998019226
merged_f1_t160,merged,160,1,3,TVA,0.06409870000788942
merged_f1_t160,merged,160,1,3,MULTI,0.16256939998129383
merged_f1_t150,merged,150,1,3,NETSPA,0.15551979999872856
merged_f1_t150,merged,150,1,3,TVA,0.06575099998735823
