network,scan,step,filter,aggregation,model,num_nodes,num_edges,density,num_strong_components,indegree,outdegree,close_centrality,avg_indegree,avg_outdegree,avg_close_centrality
merged_f1_t0_aggregation,merged,0,1,0,MULTI,24,5040,9.130434782608695,9,"[0.75, 37.5, 97.25]","[32.0, 42.0, 556.0]","[0.03260869565217391, 0.6859649122807018, 0.7666666666666667]",210.0,210.0,0.4975559369438089
merged_f1_t0_aggregation,merged,0,1,1,MULTI,24,1512,2.739130434782609,9,"[0.75, 29.0, 49.25]","[13.0, 24.0, 152.0]","[0.03260869565217391, 0.6859649122807018, 0.7666666666666667]",63.0,63.0,0.4975559369438089
merged_f1_t0_aggregation,merged,0,1,2,MULTI,24,512,0.927536231884058,9,"[0.75, 18.0, 33.25]","[7.0, 18.0, 39.0]","[0.03260869565217391, 0.5526315789473684, 0.7666666666666667]",21.333333333333332,21.333333333333332,0.4762840071192475
merged_f1_t0_aggregation,merged,0,1,3,MULTI,12,68,0.5151515151515151,5,"[1.0, 8.0, 8.0]","[1.0, 8.0, 8.0]","[0.4090909090909091, 0.6694214876033059, 0.7363636363636364]",5.666666666666667,5.666666666666667,0.5403122130394858
merged_f1_t0_aggregation,merged,0,1,0,NETSPA,652,1302,0.003067484662576687,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.3378308251167618, 0.3378308251167618, 0.3378308251167618]",1.9969325153374233,1.9969325153374233,0.33232919274928563
merged_f1_t0_aggregation,merged,0,1,1,NETSPA,211,420,0.009478672985781991,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.347682119205298, 0.347682119205298, 0.347682119205298]",1.990521327014218,1.990521327014218,0.3298310402653042
merged_f1_t0_aggregation,merged,0,1,2,NETSPA,86,170,0.023255813953488372,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.2954121789560895, 0.37117903930131, 0.37117903930131]",1.9767441860465116,1.9767441860465116,0.32381382999809905
merged_f1_t0_aggregation,merged,0,1,3,NETSPA,21,28,0.06666666666666667,7,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.23703703703703705, 0.2745762711864407, 0.32000000000000006]",1.3333333333333333,1.3333333333333333,0.26115550041183994
merged_f1_t0_aggregation,merged,0,1,0,TVA,651,5667,0.013392414037575328,9,"[8.0, 8.0, 8.0]","[1.0, 1.0, 1.0]","[0.2719665271966527, 0.2719665271966527, 0.2719665271966527]",8.705069124423963,8.705069124423963,0.27893757268465535
merged_f1_t0_aggregation,merged,0,1,1,TVA,210,1698,0.038687628161312375,9,"[8.0, 8.0, 8.0]","[1.0, 1.0, 1.0]","[0.2863013698630137, 0.2863013698630137, 0.2863013698630137]",8.085714285714285,8.085714285714285,0.2986418132403682
merged_f1_t0_aggregation,merged,0,1,2,TVA,85,573,0.08025210084033614,9,"[7.0, 8.0, 8.0]","[1.0, 1.0, 7.0]","[0.2906574394463668, 0.2937062937062937, 0.3620689655172414]",6.741176470588235,6.741176470588235,0.30544592597927983
merged_f1_t0_aggregation,merged,0,1,3,TVA,20,76,0.2,7,"[1.0, 1.5, 8.0]","[1.0, 1.0, 8.0]","[0.31163434903047094, 0.3455513784461153, 0.493421052631579]",3.8,3.8,0.3575981943190009
merged_f1_t100_aggregation,merged,100,1,0,MULTI,24,4936,8.942028985507246,9,"[0.75, 33.5, 91.75]","[31.0, 42.0, 544.0]","[0.03260869565217391, 0.6134423897581792, 0.7666666666666667]",205.66666666666666,205.66666666666666,0.49151239340026537
merged_f1_t100_aggregation,merged,100,1,1,MULTI,24,1448,2.6231884057971016,9,"[0.75, 25.5, 43.75]","[13.0, 23.0, 145.0]","[0.03260869565217391, 0.6134423897581792, 0.7666666666666667]",60.333333333333336,60.333333333333336,0.49151239340026537
merged_f1_t100_aggregation,merged,100,1,2,MULTI,24,480,0.8695652173913043,9,"[0.75, 17.5, 33.0]","[7.0, 17.0, 36.0]","[0.03260869565217391, 0.5526315789473684, 0.7666666666666667]",20.0,20.0,0.46419692003216034
merged_f1_t100_aggregation,merged,100,1,3,MULTI,18,76,0.24836601307189543,11,"[1.0, 2.0, 8.0]","[1.0, 2.0, 8.0]","[0.2801120448179272, 0.3095975232198142, 0.43315508021390375]",4.222222222222222,4.222222222222222,0.33881437333449715
merged_f1_t100_aggregation,merged,100,1,0,NETSPA,639,1276,0.003129890453834116,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.3379237288135593, 0.3379237288135593, 0.3379237288135593]",1.9968701095461658,1.9968701095461658,0.3323142586700762
merged_f1_t100_aggregation,merged,100,1,1,NETSPA,203,404,0.009852216748768473,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.3482758620689655, 0.3482758620689655, 0.3482758620689655]",1.9901477832512315,1.9901477832512315,0.32970185932220825
merged_f1_t100_aggregation,merged,100,1,2,NETSPA,82,162,0.024390243902439025,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.2942845198279981, 0.37327188940092165, 0.37327188940092165]",1.975609756097561,1.975609756097561,0.3233053560863442
merged_f1_t100_aggregation,merged,100,1,3,NETSPA,27,44,0.06267806267806268,3,"[1.0, 1.0, 1.0]","[1.0, 1.0, 2.0]","[0.24299065420560748, 0.3023255813953488, 0.41935483870967744]",1.6296296296296295,1.6296296296296295,0.3126039217563747
merged_f1_t100_aggregation,merged,100,1,0,TVA,638,5550,0.013656294444471785,9,"[8.0, 8.0, 8.0]","[1.0, 1.0, 1.0]","[0.2717576791808874, 0.2717576791808874, 0.2717576791808874]",8.699059561128527,8.699059561128527,0.2786424635065516
merged_f1_t100_aggregation,merged,100,1,1,TVA,202,1626,0.040047288310920644,9,"[8.0, 8.0, 8.0]","[1.0, 1.0, 1.0]","[0.28765664006296343, 0.28796561604584525, 0.28796561604584525]",8.049504950495049,8.049504950495049,0.29928858443626777
merged_f1_t100_aggregation,merged,100,1,2,TVA,81,537,0.08287037037037037,9,"[6.0, 8.0, 8.0]","[1.0, 1.0, 7.0]","[0.29739776951672864, 0.3007518796992481, 0.36363636363636365]",6.62962962962963,6.62962962962963,0.3064725154917147
merged_f1_t100_aggregation,merged,100,1,3,TVA,26,84,0.12923076923076923,12,"[1.0, 1.0, 8.0]","[1.0, 1.0, 8.0]","[0.18962962962962962, 0.23684210526315788, 0.375]",3.230769230769231,3.230769230769231,0.26201934667535665
merged_f1_t10_aggregation,merged,10,1,0,MULTI,24,5040,9.130434782608695,9,"[0.75, 37.5, 97.25]","[32.0, 42.0, 556.0]","[0.03260869565217391, 0.6859649122807018, 0.7666666666666667]",210.0,210.0,0.4975559369438089
merged_f1_t10_aggregation,merged,10,1,1,MULTI,24,1512,2.739130434782609,9,"[0.75, 29.0, 49.25]","[13.0, 24.0, 152.0]","[0.03260869565217391, 0.6859649122807018, 0.7666666666666667]",63.0,63.0,0.4975559369438089
merged_f1_t10_aggregation,merged,10,1,2,MULTI,24,512,0.927536231884058,9,"[0.75, 18.0, 33.25]","[7.0, 18.0, 39.0]","[0.03260869565217391, 0.5526315789473684, 0.7666666666666667]",21.333333333333332,21.333333333333332,0.4762840071192475
merged_f1_t10_aggregation,merged,10,1,3,MULTI,12,68,0.5151515151515151,5,"[1.0, 8.0, 8.0]","[1.0, 8.0, 8.0]","[0.4090909090909091, 0.6694214876033059, 0.7363636363636364]",5.666666666666667,5.666666666666667,0.5403122130394858
merged_f1_t10_aggregation,merged,10,1,0,NETSPA,652,1302,0.003067484662576687,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.3378308251167618, 0.3378308251167618, 0.3378308251167618]",1.9969325153374233,1.9969325153374233,0.33232919274928563
merged_f1_t10_aggregation,merged,10,1,1,NETSPA,211,420,0.009478672985781991,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.347682119205298, 0.347682119205298, 0.347682119205298]",1.990521327014218,1.990521327014218,0.3298310402653042
merged_f1_t10_aggregation,merged,10,1,2,NETSPA,86,170,0.023255813953488372,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.2954121789560895, 0.37117903930131, 0.37117903930131]",1.9767441860465116,1.9767441860465116,0.32381382999809905
merged_f1_t10_aggregation,merged,10,1,3,NETSPA,21,28,0.06666666666666667,7,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.23703703703703705, 0.2745762711864407, 0.32000000000000006]",1.3333333333333333,1.3333333333333333,0.26115550041183994
merged_f1_t10_aggregation,merged,10,1,0,TVA,651,5667,0.013392414037575328,9,"[8.0, 8.0, 8.0]","[1.0, 1.0, 1.0]","[0.2719665271966527, 0.2719665271966527, 0.2719665271966527]",8.705069124423963,8.705069124423963,0.27893757268465535
merged_f1_t10_aggregation,merged,10,1,1,TVA,210,1698,0.038687628161312375,9,"[8.0, 8.0, 8.0]","[1.0, 1.0, 1.0]","[0.2863013698630137, 0.2863013698630137, 0.2863013698630137]",8.085714285714285,8.085714285714285,0.2986418132403682
merged_f1_t10_aggregation,merged,10,1,2,TVA,85,573,0.08025210084033614,9,"[7.0, 8.0, 8.0]","[1.0, 1.0, 7.0]","[0.2906574394463668, 0.2937062937062937, 0.3620689655172414]",6.741176470588235,6.741176470588235,0.30544592597927983
merged_f1_t10_aggregation,merged,10,1,3,TVA,20,76,0.2,7,"[1.0, 1.5, 8.0]","[1.0, 1.0, 8.0]","[0.31163434903047094, 0.3455513784461153, 0.493421052631579]",3.8,3.8,0.3575981943190009
merged_f1_t110_aggregation,merged,110,1,0,MULTI,24,4920,8.91304347826087,9,"[0.75, 33.5, 84.0]","[31.0, 42.0, 542.0]","[0.03260869565217391, 0.6134423897581792, 0.7666666666666667]",205.0,205.0,0.49151239340026537
merged_f1_t110_aggregation,merged,110,1,1,MULTI,24,1440,2.608695652173913,9,"[0.75, 25.5, 43.75]","[13.0, 23.0, 144.0]","[0.03260869565217391, 0.6134423897581792, 0.7666666666666667]",60.0,60.0,0.49151239340026537
merged_f1_t110_aggregation,merged,110,1,2,MULTI,24,472,0.855072463768116,9,"[0.75, 17.5, 33.0]","[7.0, 17.0, 35.0]","[0.03260869565217391, 0.5526315789473684, 0.7666666666666667]",19.666666666666668,19.666666666666668,0.46419692003216034
merged_f1_t110_aggregation,merged,110,1,3,MULTI,18,76,0.24836601307189543,11,"[1.0, 2.0, 8.0]","[1.0, 2.0, 8.0]","[0.2801120448179272, 0.3095975232198142, 0.43315508021390375]",4.222222222222222,4.222222222222222,0.33881437333449715
merged_f1_t110_aggregation,merged,110,1,0,NETSPA,637,1272,0.0031397174254317113,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.3379383634431456, 0.3379383634431456, 0.3379383634431456]",1.9968602825745683,1.9968602825745683,0.33231218891189485
merged_f1_t110_aggregation,merged,110,1,1,NETSPA,202,402,0.009900990099009901,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.3483535528596187, 0.3483535528596187, 0.3483535528596187]",1.99009900990099,1.99009900990099,0.32968560202119107
merged_f1_t110_aggregation,merged,110,1,2,NETSPA,81,160,0.024691358024691357,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.2909090909090909, 0.37383177570093457, 0.37383177570093457]",1.9753086419753085,1.9753086419753085,0.323168400132335
merged_f1_t110_aggregation,merged,110,1,3,NETSPA,27,44,0.06267806267806268,3,"[1.0, 1.0, 1.0]","[1.0, 1.0, 2.0]","[0.24299065420560748, 0.3023255813953488, 0.41935483870967744]",1.6296296296296295,1.6296296296296295,0.3126039217563747
merged_f1_t110_aggregation,merged,110,1,0,TVA,636,5532,0.013697816074877432,9,"[8.0, 8.0, 8.0]","[1.0, 1.0, 1.0]","[0.2718321917808219, 0.2718321917808219, 0.2718321917808219]",8.69811320754717,8.69811320754717,0.27872743419145174
merged_f1_t110_aggregation,merged,110,1,1,TVA,201,1617,0.04022388059701493,9,"[8.0, 8.0, 8.0]","[1.0, 1.0, 1.0]","[0.28776978417266186, 0.2881844380403458, 0.2881844380403458]",8.044776119402986,8.044776119402986,0.2994966101025069
merged_f1_t110_aggregation,merged,110,1,2,TVA,80,528,0.08354430379746836,9,"[5.75, 8.0, 8.0]","[1.0, 1.0, 7.0]","[0.29924242424242425, 0.30268199233716475, 0.366643370388975]",6.6,6.6,0.30737757854804193
merged_f1_t110_aggregation,merged,110,1,3,TVA,26,84,0.12923076923076923,12,"[1.0, 1.0, 8.0]","[1.0, 1.0, 8.0]","[0.18962962962962962, 0.23684210526315788, 0.375]",3.230769230769231,3.230769230769231,0.26201934667535665
merged_f1_t120_aggregation,merged,120,1,0,MULTI,24,4920,8.91304347826087,9,"[0.75, 33.5, 84.0]","[31.0, 42.0, 542.0]","[0.03260869565217391, 0.6134423897581792, 0.7666666666666667]",205.0,205.0,0.49151239340026537
merged_f1_t120_aggregation,merged,120,1,1,MULTI,24,1440,2.608695652173913,9,"[0.75, 25.5, 43.75]","[13.0, 23.0, 144.0]","[0.03260869565217391, 0.6134423897581792, 0.7666666666666667]",60.0,60.0,0.49151239340026537
merged_f1_t120_aggregation,merged,120,1,2,MULTI,24,472,0.855072463768116,9,"[0.75, 17.5, 33.0]","[7.0, 17.0, 35.0]","[0.03260869565217391, 0.5526315789473684, 0.7666666666666667]",19.666666666666668,19.666666666666668,0.46419692003216034
merged_f1_t120_aggregation,merged,120,1,3,MULTI,18,76,0.24836601307189543,11,"[1.0, 2.0, 8.0]","[1.0, 2.0, 8.0]","[0.2801120448179272, 0.3095975232198142, 0.43315508021390375]",4.222222222222222,4.222222222222222,0.33881437333449715
merged_f1_t120_aggregation,merged,120,1,0,NETSPA,637,1272,0.0031397174254317113,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.3379383634431456, 0.3379383634431456, 0.3379383634431456]",1.9968602825745683,1.9968602825745683,0.33231218891189485
merged_f1_t120_aggregation,merged,120,1,1,NETSPA,202,402,0.009900990099009901,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.3483535528596187, 0.3483535528596187, 0.3483535528596187]",1.99009900990099,1.99009900990099,0.32968560202119107
merged_f1_t120_aggregation,merged,120,1,2,NETSPA,81,160,0.024691358024691357,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.2909090909090909, 0.37383177570093457, 0.37383177570093457]",1.9753086419753085,1.9753086419753085,0.323168400132335
merged_f1_t120_aggregation,merged,120,1,3,NETSPA,27,44,0.06267806267806268,3,"[1.0, 1.0, 1.0]","[1.0, 1.0, 2.0]","[0.24299065420560748, 0.3023255813953488, 0.41935483870967744]",1.6296296296296295,1.6296296296296295,0.3126039217563747
merged_f1_t120_aggregation,merged,120,1,0,TVA,636,5532,0.013697816074877432,9,"[8.0, 8.0, 8.0]","[1.0, 1.0, 1.0]","[0.2718321917808219, 0.2718321917808219, 0.2718321917808219]",8.69811320754717,8.69811320754717,0.27872743419145174
merged_f1_t120_aggregation,merged,120,1,1,TVA,201,1617,0.04022388059701493,9,"[8.0, 8.0, 8.0]","[1.0, 1.0, 1.0]","[0.28776978417266186, 0.2881844380403458, 0.2881844380403458]",8.044776119402986,8.044776119402986,0.2994966101025069
merged_f1_t120_aggregation,merged,120,1,2,TVA,80,528,0.08354430379746836,9,"[5.75, 8.0, 8.0]","[1.0, 1.0, 7.0]","[0.29924242424242425, 0.30268199233716475, 0.366643370388975]",6.6,6.6,0.30737757854804193
merged_f1_t120_aggregation,merged,120,1,3,TVA,26,84,0.12923076923076923,12,"[1.0, 1.0, 8.0]","[1.0, 1.0, 8.0]","[0.18962962962962962, 0.23684210526315788, 0.375]",3.230769230769231,3.230769230769231,0.26201934667535665
merged_f1_t130_aggregation,merged,130,1,0,MULTI,24,4888,8.855072463768115,9,"[0.75, 33.5, 78.0]","[31.0, 42.0, 538.0]","[0.03260869565217391, 0.6134423897581792, 0.7666666666666667]",203.66666666666666,203.66666666666666,0.49151239340026537
merged_f1_t130_aggregation,merged,130,1,1,MULTI,24,1432,2.5942028985507246,9,"[0.75, 25.5, 43.0]","[13.0, 23.0, 143.0]","[0.03260869565217391, 0.6134423897581792, 0.7666666666666667]",59.666666666666664,59.666666666666664,0.49151239340026537
merged_f1_t130_aggregation,merged,130,1,2,MULTI,24,472,0.855072463768116,9,"[0.75, 17.5, 33.0]","[7.0, 17.0, 35.0]","[0.03260869565217391, 0.5526315789473684, 0.7666666666666667]",19.666666666666668,19.666666666666668,0.46419692003216034
merged_f1_t130_aggregation,merged,130,1,3,MULTI,18,76,0.24836601307189543,11,"[1.0, 2.0, 8.0]","[1.0, 2.0, 8.0]","[0.2801120448179272, 0.3095975232198142, 0.43315508021390375]",4.222222222222222,4.222222222222222,0.33881437333449715
merged_f1_t130_aggregation,merged,130,1,0,NETSPA,633,1264,0.00315955766192733,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.33796791443850266, 0.33796791443850266, 0.33796791443850266]",1.9968404423380726,1.9968404423380726,0.33230739119349917
merged_f1_t130_aggregation,merged,130,1,1,NETSPA,201,400,0.009950248756218905,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.34843205574912894, 0.34843205574912894, 0.34843205574912894]",1.9900497512437811,1.9900497512437811,0.32966943226131673
merged_f1_t130_aggregation,merged,130,1,2,NETSPA,81,160,0.024691358024691357,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.2909090909090909, 0.37383177570093457, 0.37383177570093457]",1.9753086419753085,1.9753086419753085,0.323168400132335
merged_f1_t130_aggregation,merged,130,1,3,NETSPA,27,44,0.06267806267806268,3,"[1.0, 1.0, 1.0]","[1.0, 1.0, 2.0]","[0.24299065420560748, 0.3023255813953488, 0.41935483870967744]",1.6296296296296295,1.6296296296296295,0.3126039217563747
merged_f1_t130_aggregation,merged,130,1,0,TVA,632,5496,0.013781620493891552,9,"[8.0, 8.0, 8.0]","[1.0, 1.0, 1.0]","[0.27198275862068966, 0.27198275862068966, 0.27198275862068966]",8.69620253164557,8.69620253164557,0.2788983004905011
merged_f1_t130_aggregation,merged,130,1,1,TVA,200,1608,0.04040201005025126,9,"[8.0, 8.0, 8.0]","[1.0, 1.0, 1.0]","[0.28798842257597684, 0.28840579710144926, 0.28840579710144926]",8.04,8.04,0.29970651391345526
merged_f1_t130_aggregation,merged,130,1,2,TVA,80,528,0.08354430379746836,9,"[5.75, 8.0, 8.0]","[1.0, 1.0, 7.0]","[0.29924242424242425, 0.30268199233716475, 0.366643370388975]",6.6,6.6,0.30737757854804193
merged_f1_t130_aggregation,merged,130,1,3,TVA,26,84,0.12923076923076923,12,"[1.0, 1.0, 8.0]","[1.0, 1.0, 8.0]","[0.18962962962962962, 0.23684210526315788, 0.375]",3.230769230769231,3.230769230769231,0.26201934667535665
merged_f1_t140_aggregation,merged,140,1,0,MULTI,24,4880,8.840579710144928,9,"[0.75, 33.5, 76.0]","[31.0, 42.0, 537.0]","[0.03260869565217391, 0.6134423897581792, 0.7666666666666667]",203.33333333333334,203.33333333333334,0.49151239340026537
merged_f1_t140_aggregation,merged,140,1,1,MULTI,24,1424,2.579710144927536,9,"[0.75, 25.5, 43.0]","[13.0, 23.0, 142.0]","[0.03260869565217391, 0.6134423897581792, 0.7666666666666667]",59.333333333333336,59.333333333333336,0.49151239340026537
merged_f1_t140_aggregation,merged,140,1,2,MULTI,24,464,0.8405797101449275,9,"[0.75, 17.5, 33.0]","[7.0, 17.0, 34.0]","[0.03260869565217391, 0.5526315789473684, 0.7666666666666667]",19.333333333333332,19.333333333333332,0.46419692003216034
merged_f1_t140_aggregation,merged,140,1,3,MULTI,18,76,0.24836601307189543,11,"[1.0, 2.0, 8.0]","[1.0, 2.0, 8.0]","[0.2801120448179272, 0.3095975232198142, 0.43315508021390375]",4.222222222222222,4.222222222222222,0.33881437333449715
merged_f1_t140_aggregation,merged,140,1,0,NETSPA,632,1262,0.0031645569620253164,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.3379753615425817, 0.3379753615425817, 0.3379753615425817]",1.9968354430379747,1.9968354430379747,0.33230635228718974
merged_f1_t140_aggregation,merged,140,1,1,NETSPA,200,398,0.01,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.34851138353765326, 0.34851138353765326, 0.34851138353765326]",1.99,1.99,0.32965288325137154
merged_f1_t140_aggregation,merged,140,1,2,NETSPA,80,158,0.025,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.2909790086911858, 0.3744075829383886, 0.3744075829383886]",1.975,1.975,0.32302877557925447
merged_f1_t140_aggregation,merged,140,1,3,NETSPA,27,44,0.06267806267806268,3,"[1.0, 1.0, 1.0]","[1.0, 1.0, 2.0]","[0.24299065420560748, 0.3023255813953488, 0.41935483870967744]",1.6296296296296295,1.6296296296296295,0.3126039217563747
merged_f1_t140_aggregation,merged,140,1,0,TVA,631,5487,0.013802731869292883,9,"[8.0, 8.0, 8.0]","[1.0, 1.0, 1.0]","[0.27202072538860106, 0.27202072538860106, 0.27202072538860106]",8.695721077654516,8.695721077654516,0.27894149159261417
merged_f1_t140_aggregation,merged,140,1,1,TVA,199,1599,0.040581696360590835,9,"[8.0, 8.0, 8.0]","[1.0, 1.0, 1.0]","[0.28820960698689957, 0.2886297376093295, 0.2886297376093295]",8.035175879396984,8.035175879396984,0.2999178985971232
merged_f1_t140_aggregation,merged,140,1,2,TVA,79,519,0.08422590068159688,9,"[5.5, 8.0, 8.0]","[1.0, 1.0, 7.0]","[0.30115830115830117, 0.3046875, 0.36974299065420557]",6.569620253164557,6.569620253164557,0.30829082209923936
merged_f1_t140_aggregation,merged,140,1,3,TVA,26,84,0.12923076923076923,12,"[1.0, 1.0, 8.0]","[1.0, 1.0, 8.0]","[0.18962962962962962, 0.23684210526315788, 0.375]",3.230769230769231,3.230769230769231,0.26201934667535665
merged_f1_t150_aggregation,merged,150,1,0,MULTI,24,4872,8.826086956521738,9,"[0.75, 33.5, 76.0]","[31.0, 42.0, 536.0]","[0.03260869565217391, 0.6134423897581792, 0.7666666666666667]",203.0,203.0,0.49151239340026537
