Step;Node;Score;Response
0;a:oracle;109,44448675984444;True
1;a:netapp;42,84006686230099;False
2;o:debian;47,17769442592184;False
3;a:oracle:jdk;43,74313555120197;True
4;a:oracle:jre;42,43000149323094;True
5;a:oracle:mysql;35,903203865571214;True
6;o:canonical;34,060615844356654;True
7;o:redhat;32,04575055479698;False
8;a:redhat;33,739113012768264;False
9;o:canonical:ubuntu_linux;36,44802226603078;True
10;o:fedoraproject;21,099141343578992;False
11;o:opensuse;20,492053436918958;False
12;a:oracle:jdk:1.7.0;17,555237695977763;True
13;a:oracle:jdk:1.8.0;20,471257491654978;False
14;a:oracle:jre:1.8.0;24,44099865849091;False
15;a:oracle:jre:1.7.0;29,660572522019816;True
16;a:oracle:jdk:1.6.0;22,04509844993716;False
17;a:oracle:jre:1.6.0;36,898057891765;False
18;a:oracle:jrockit;20,47077216261998;False
19;o:canonical:ubuntu_linux:16.04;18,17918503784994;False
20;a:mariadb;16,500000000000007;False
21;o:canonical:ubuntu_linux:18.04;17,847532534922095;False
22;a:hp;14,557730818488768;False
23;o:canonical:ubuntu_linux:14.04;12,986598071400515;False
24;a:oracle:openjdk;12,785714285714285;True
25;a:oracle:graalvm;11,592960662525883;False
26;o:canonical:ubuntu_linux:17.10;11,016666666666666;False
27;a:mcafee;10,38480032599837;False
28;o:canonical:ubuntu_linux:18.10;9,219687092568446;False
29;o:canonical:ubuntu_linux:19.04;8,8547619047619;False
30;o:canonical:ubuntu_linux:19.10;7,811111111111111;False
31;h:netapp;7,6034739201304;False
32;a:oracle:openjdk:8;6,680772005772003;False
33;a:oracle:openjdk:7;9,396770773086564;True
34;a:oracle:mysql:<= 5.6.38;>= 5.6.0;5,75;True
35;o:oracle;5,743476328072906;False
36;a:oracle:mysql:<= 5.6.39;>= 5.6.0;5,5;True
37;o:canonical:ubuntu_linux:12.04;5,84077975033857;False
38;o:canonical:ubuntu_linux:20.04;5,083333333333333;False
39;a:openssl;4,855640712181054;True
40;a:azul;4,5;False
41;a:openssl:openssl;4,140406944211292;True
42;a:oracle:mysql:<= 5.6.42;>= 5.6.0;3,3333333333333335;True
43;a:oracle:jre:1.7;3,3333333333333317;True
44;a:oracle:mysql:<= 5.7.27;>= 5.7.0;3,0000000000000004;False
45;a:oracle:mysql:<= 5.6.45;>= 5.6.0;5,0;True
46;a:oracle:mysql:<= 5.7.23;>= 5.7.0;2,8833333333333333;False
47;a:oracle:mysql:<= 5.6.41;>= 5.6.0;4,142857142857143;True
48;a:oracle:mysql:<= 8.0.17;>= 8.0.0;2,8333333333333335;False
49;a:oracle:mysql:<= 5.6.47;>= 5.6.0;3,333333333333334;True
50;a:oracle:mysql:<= 5.7.29;>= 5.7.0;3,5;False
51;a:oracle:mysql:<= 8.0.19;>= 8.0.0;6,0;False
52;a:apache;2,833333333333333;False
53;a:oracle:java_se;2,5573671497584543;False
54;a:pivotal_software;2,5;True
55;a:pivotal_software:rabbitmq;2,5;True
56;a:oracle:mysql:<= 5.6.44;>= 5.6.0;2,333333333333333;True
57;a:oracle:mysql:<= 8.0.18;>= 8.0.0;2,1666666666666665;False
58;o:microsoft;2,1635696821515893;False
59;a:oracle:mysql:<= 5.7.28;>= 5.7.0;2,0;False
60;a:libreoffice;2,0;True
61;a:libreoffice:libreoffice;2,0;False
62;a:oracle:mysql:<= 5.6.46;>= 5.6.0;2,0;True
63;a:oracle:mysql:<= 5.7.31;>= 5.7.0;1,9999999999999998;False
64;a:oracle:mysql:<= 5.6.49;>= 5.6.0;3,0;True
65;a:oracle:jdk:11.0.3;1,6666666666666665;False
66;a:oracle:mysql:<= 5.7.30;>= 5.7.0;1,543478260869565;False
67;a:oracle:mysql:<= 5.6.50;>= 5.6.0;1,9999999999999998;True
68;a:oracle:mysql:<= 8.0.20;>= 8.0.0;1,5454545454545454;False
69;a:oracle:mysql:<= 5.6.48;>= 5.6.0;3,0;True
70;a:vmware;1,5;False
71;a:oracle:jdk:12.0.1;1,4583333333333333;False
72;a:nodejs;1,45;False
73;o:google;1,3333333333333333;False
74;a:libpng;1,1004889975550123;False
75;a:oracle:mysql:<= 8.0.15;>= 8.0.0;1,0095238095238095;False
76;a:oracle:mysql:<= 5.6.43;>= 5.6.0;1,5096153846153846;True
77;a:littlecms;1,0;False
78;a:oracle:instantis_enterprisetrack;1,0;False
79;o:netapp;1,0;False
80;a:oracle:jdk:18;1,0333333333333332;False
81;a:oracle:jdk:17.0.2;1,65;False
82;o:apple;0,9419916201701042;False
83;a:tenable;0,8666666666666666;False
84;a:oracle:jdk:11.0.14;0,8333333333333333;False
85;a:oracle:jre:17.0.3.1;0,7727272727272728;False
86;a:oracle:jdk:17.0.3.1;1,3;False
87;a:drupal;0,6666666666666666;False
88;a:jquery;1,0;True
89;a:oracle:jdk:7.0;0,5;False
90;a:oracle:jdk:8.0;1,0;False
91;a:oracle:jdk:16.0.1;0,5;False
92;a:oracle:jdk:11.0.11;1,0;False
93;a:samba;0,5;True
94;a:samba:samba;0,5;False
95;o:canonical:ubuntu_linux:15.10;1,1;False
96;a:pulsesecure;0,5;False
97;o:suse;0,4566354251562075;False
98;a:mozilla;0,5787648577990876;True
99;h:fujitsu;0,3918966119455117;False
100;a:oracle:http_server;0,4540890269151139;False
101;o:fujitsu;0,3918966119455117;False
102;a:mozilla:thunderbird;0,37800207039337475;True
103;a:mozilla:firefox_esr;0,37800207039337475;False
104;a:oracle:database;0,3611111111111111;False
105;a:oracle:mysql:< 5.5.59;>= 5.5.0;0,3333333333333333;False
106;a:oracle:mysql:< 5.6.39;>= 5.6.0;0,5;True
107;a:hpe;0,3333333333333333;False
108;a:openssl:openssl:<= 1.1.1c;>= 1.1.1;0,3333333333333333;False
109;a:openssl:openssl:<= 1.1.0k;>= 1.1.0;0,5;False
110;a:openssl:openssl:<= 1.0.2s;>= 1.0.2;1,0;False
111;a:oracle:hyperion_infrastructure_technology;0,3333333333333333;False
112;a:oracle:mysql:< 8.0.23;0,5;True
113;a:python;0,3333333333333333;True
114;a:cisco;0,3333333333333333;False
115;a:python:python;0,5;True
116;a:ibm;0,2970289694006075;False
117;o:ibm;0,325;False
118;o:novell;0,39285714285714285;False
119;o:mageia;0,3333333333333333;False
120;o:netbsd;0,5;False
121;a:mozilla:firefox;0,2731152452619844;True
122;a:mozilla:firefox:-;0,3743315508021391;True
123;a:openssl:openssl:1.0.2c;0,2673887415266726;False
124;a:openssl:openssl:1.0.2d;0,2916233766233767;False
