Step;Node;Score;Response
0;a:libreoffice;3,5000000000000004;True
1;a:libreoffice:libreoffice;3,5;True
2;a:apache;2,15;False
3;o:debian;2,1999999999999997;True
4;o:fedoraproject;1,833333333333333;False
5;o:debian:debian_linux;2,088888888888889;True
6;a:oracle;1,5333333333333332;False
7;a:qos;2,1666666666666665;False
8;o:debian:debian_linux:10.0;1,3928571428571428;True
9;a:libreoffice:libreoffice:< 7.2.7;>= 7.2.0;1,5;False
10;o:opensuse;1,25;False
11;a:libreoffice:libreoffice:< 6.4.4;2,0;True
12;a:netapp;1,3333333333333333;False
13;a:broadcom;2,0;False
14;o:debian:debian_linux:11.0;1,1666666666666667;False
15;o:microsoft;1,0909090909090908;False
16;a:libreoffice:libreoffice:< 7.3.2;>= 7.3.0;1,0;False
17;a:libreoffice:libreoffice:< 7.2.5;>= 7.2.0;1,0;False
18;a:libreoffice:libreoffice:< 7.3.6;>= 7.3.0;0,5;False
19;a:libreoffice:libreoffice:7.4.0;1,0;False
20;o:cisco;0,1;False
21;o:apple;0,1111111111111111;False
22;o:sco;0,125;False
23;o:novell;0,14285714285714285;False
24;o:hp;0,16666666666666669;False
25;o:linux;0,2;True
26;o:sgi;0,2;False
27;o:windriver;0,25;False
28;o:oracle;0,33333333333333337;False
29;o:ibm;0,5;False
30;o:linux:linux_kernel;1,0;True
31;o:linux:linux_kernel:-;1,0;True
