Step;#Open_CVE;#Open_CPE
0;218;460
1;218;455
2;218;379
3;218;379
4;218;379
5;218;329
6;218;320
7;218;311
8;39;310
9;39;303
10;39;293
11;39;284
12;39;277
13;39;277
14;39;260
15;39;258
16;39;257
17;29;256
18;29;240
19;29;239
20;29;238
21;11;237
22;11;232
23;9;223
24;9;221
25;8;218
26;8;216
27;7;215
28;7;214
29;6;213
30;6;212
31;6;211
32;5;210
33;5;209
34;5;208
35;5;207
36;4;206
37;4;205
38;3;204
39;3;194
40;3;188
41;3;183
42;3;183
43;3;183
44;3;181
45;3;179
46;3;179
47;3;179
48;3;178
49;3;178
50;3;177
51;3;176
52;3;175
53;3;175
54;2;174
55;2;173
56;2;171
57;2;170
58;2;169
59;2;169
60;2;168
61;2;166
62;2;166
63;1;165
64;1;164
65;1;163
66;1;162
67;1;161
68;1;160
69;1;159
70;1;158
71;1;157
72;1;156
73;1;155
74;1;154
75;0;153
