network,seed,hosts,vulns,model,filter,aggregation,num_paths,id_path,impact,exploit,score,risk,mod,path_time,source,target
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,1,5.873118720000001,3.8870427750000003,9.8,15.373910760391393,6.4300654113125635,0.04,USER@host-3,USER@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,2,5.873118720000001,3.8870427750000003,9.8,14.880234232986174,6.396306691597334,0.04,USER@host-3,USER@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,3,5.873118720000001,3.8870427750000003,9.8,13.129146140593527,6.284172444151169,0.04,USER@host-3,USER@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,4,5.873118720000001,3.8870427750000003,9.8,0.0,2.824436647159635,0.02,USER@host-3,NONE@host-3
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,5,5.873118720000001,3.8870427750000003,9.8,13.129146140593527,6.284172444151169,0.04,USER@host-3,USER@host-2
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,6,5.873118720000001,3.8870427750000003,9.8,3.797116173010591,3.036847791181152,0.05,USER@host-3,NONE@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,7,5.873118720000001,3.8870427750000003,9.8,14.717542188462204,6.385384758472165,0.04,USER@host-3,USER@host-0
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,8,5.873118720000001,3.8870427750000003,9.8,15.913179561656948,6.467988937258873,0.04,USER@host-3,USER@host-9
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,9,5.873118720000001,3.8870427750000003,9.8,9.978724704823948,4.541942846992027,0.05,USER@host-3,NONE@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,10,5.873118720000001,3.8870427750000003,9.8,13.9743492956089,6.336793101921108,0.05,USER@host-3,NONE@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,11,5.873118720000001,3.8870427750000003,9.8,15.468554396312015,6.436642527233751,0.04,USER@host-6,USER@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,12,5.873118720000001,3.8870427750000003,9.8,14.974969698617999,6.402713155212579,0.04,USER@host-6,USER@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,13,5.873118720000001,3.8870427750000003,9.8,13.019762243507177,6.2775712962032175,0.04,USER@host-6,USER@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,14,5.873118720000001,3.8870427750000003,9.8,0.0,2.9389105859377596,0.05,USER@host-6,NONE@host-3
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,15,5.873118720000001,3.8870427750000003,9.8,13.019762243507177,6.2775712962032175,0.04,USER@host-6,USER@host-2
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,16,5.873118720000001,3.8870427750000003,9.8,3.794792421834403,3.0353914058214606,0.05,USER@host-6,NONE@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,17,5.873118720000001,3.8870427750000003,9.8,14.706078400814382,6.384618993212284,0.04,USER@host-6,USER@host-0
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,18,5.873118720000001,3.8870427750000003,9.8,15.829583343096846,6.4620392474123936,0.04,USER@host-6,USER@host-9
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,19,5.873118720000001,3.8870427750000003,9.8,10.003523804893197,4.546161374329873,0.05,USER@host-6,NONE@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,20,5.873118720000001,3.8870427750000003,9.8,13.99339946404643,6.338011747700176,0.05,USER@host-6,NONE@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,21,5.873118720000001,3.8870427750000003,9.8,15.646707096118169,6.44911401835606,0.03,USER@host-8,USER@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,22,5.873118720000001,3.8870427750000003,9.8,15.15299897139297,6.414844764659734,0.03,USER@host-8,USER@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,23,5.873118720000001,3.8870427750000003,9.8,13.06937526138197,6.280559380254145,0.03,USER@host-8,USER@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,24,5.873118720000001,3.8870427750000003,9.8,0.0,2.9560653943333337,0.05,USER@host-8,NONE@host-3
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,25,5.873118720000001,3.8870427750000003,9.8,13.06937526138197,6.280559380254145,0.03,USER@host-8,USER@host-2
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,26,5.873118720000001,3.8870427750000003,9.8,3.825993108723808,3.054962088552422,0.05,USER@host-8,NONE@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,27,5.873118720000001,3.8870427750000003,9.8,14.823896530516715,6.392513122911003,0.04,USER@host-8,USER@host-0
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,28,5.873118720000001,3.8870427750000003,9.8,15.892025476763504,6.466480920215602,0.04,USER@host-8,USER@host-9
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,29,5.873118720000001,3.8870427750000003,9.8,10.122866187385952,4.5665536966052365,0.05,USER@host-8,NONE@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,30,5.873118720000001,3.8870427750000003,9.8,14.172560592869592,6.349542373589315,0.05,USER@host-8,NONE@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,31,5.873118720000001,3.8870427750000003,9.8,15.801074404361206,6.460016134527527,0.02,NONE@host-7,USER@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,32,5.873118720000001,3.8870427750000003,9.8,15.307519367426618,6.425471743436323,0.02,NONE@host-7,USER@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,33,5.873118720000001,3.8870427750000003,9.8,12.962020065535562,6.274106140362962,0.02,NONE@host-7,USER@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,34,5.873118720000001,3.8870427750000003,9.8,0.0,2.9628773796875003,0.02,NONE@host-7,NONE@host-3
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,35,5.873118720000001,3.8870427750000003,9.8,12.962020065535562,6.274106140362962,0.02,NONE@host-7,USER@host-2
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,36,5.873118720000001,3.8870427750000003,9.8,3.830562851042895,3.0578313494138505,0.02,NONE@host-7,NONE@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,37,5.873118720000001,3.8870427750000003,9.8,14.90182567596889,6.3977637940928505,0.02,NONE@host-7,USER@host-0
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,38,5.873118720000001,3.8870427750000003,9.8,15.890009314380388,6.466337279859201,0.02,NONE@host-7,USER@host-9
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,39,5.873118720000001,3.8870427750000003,9.8,14.157051324205844,6.348539245779504,0.02,NONE@host-7,NONE@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,40,5.873118720000001,3.8870427750000003,9.8,15.525656347238757,6.440626993762727,0.02,NONE@host-3,USER@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,41,5.873118720000001,3.8870427750000003,9.8,15.032101310304169,6.406593201525019,0.02,NONE@host-3,USER@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,42,5.873118720000001,3.8870427750000003,9.8,13.090597382345127,6.281840577201664,0.02,NONE@host-3,USER@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,43,5.873118720000001,3.8870427750000003,9.8,13.090597382345127,6.281840577201664,0.02,NONE@host-3,USER@host-2
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,44,5.873118720000001,3.8870427750000003,9.8,3.81183974993712,3.046080099765423,0.02,NONE@host-3,NONE@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,45,5.873118720000001,3.8870427750000003,9.8,14.763357526363423,6.388450198098705,0.02,NONE@host-3,USER@host-0
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,46,5.873118720000001,3.8870427750000003,9.8,15.884879307793511,6.46597186321724,0.02,NONE@host-3,USER@host-9
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,47,5.873118720000001,3.8870427750000003,9.8,10.062107075923981,4.556152823957676,0.02,NONE@host-3,NONE@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,48,5.873118720000001,3.8870427750000003,9.8,14.07919590392775,6.343517829188307,0.02,NONE@host-3,NONE@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,49,5.873118720000001,3.8870427750000003,9.8,15.610171421515398,6.446546689052994,0.07,ROOT@host-9,USER@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,50,5.873118720000001,3.8870427750000003,9.8,15.117537667503887,6.412418695114771,0.07,ROOT@host-9,USER@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,51,5.873118720000001,3.8870427750000003,9.8,13.362909647602967,6.2984411293424305,0.06,ROOT@host-9,USER@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,52,5.873118720000001,3.8870427750000003,9.8,0.0,2.9678401594285715,0.09,ROOT@host-9,NONE@host-3
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,53,5.873118720000001,3.8870427750000003,9.8,13.362909647602967,6.2984411293424305,0.06,ROOT@host-9,USER@host-2
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,54,5.873118720000001,3.8870427750000003,9.8,3.8595734729203595,3.076063559998238,0.09,ROOT@host-9,NONE@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,55,5.873118720000001,3.8870427750000003,9.8,14.769423747397179,6.388856684193931,0.08,ROOT@host-9,USER@host-0
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,56,5.873118720000001,3.8870427750000003,9.8,15.462283769561397,6.436205719388012,0.03,ROOT@host-9,USER@host-9
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,57,5.873118720000001,3.8870427750000003,9.8,10.3683994514496,4.608976740880723,0.09,ROOT@host-9,NONE@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,58,5.873118720000001,3.8870427750000003,9.8,14.4518690679478,6.3677682372635145,0.09,ROOT@host-9,NONE@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,59,5.873118720000001,3.8870427750000003,9.8,15.565417010914683,6.443408626980072,0.04,USER@host-9,USER@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,60,5.873118720000001,3.8870427750000003,9.8,15.071644137582961,6.409285990287502,0.03,USER@host-9,USER@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,61,5.873118720000001,3.8870427750000003,9.8,13.373940683716452,6.299119867901032,0.03,USER@host-9,USER@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,62,5.873118720000001,3.8870427750000003,9.8,0.0,2.9817983363081897,0.05,USER@host-9,NONE@host-3
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,63,5.873118720000001,3.8870427750000003,9.8,13.373940683716452,6.299119867901032,0.03,USER@host-9,USER@host-2
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,64,5.873118720000001,3.8870427750000003,9.8,3.8544799709609925,3.072860356103603,0.05,USER@host-9,NONE@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,65,5.873118720000001,3.8870427750000003,9.8,14.948562052500675,6.40092390273497,0.04,USER@host-9,USER@host-0
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,66,5.873118720000001,3.8870427750000003,9.8,10.137352566281526,4.569039238685712,0.05,USER@host-9,NONE@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,67,5.873118720000001,3.8870427750000003,9.8,14.2312724041367,6.353348316841572,0.05,USER@host-9,NONE@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,68,5.873118720000001,3.8870427750000003,9.8,15.768552948311493,6.457711958050362,0.04,USER@host-2,USER@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,69,5.873118720000001,3.8870427750000003,9.8,15.2750558743877,6.423231617479865,0.04,USER@host-2,USER@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,70,5.873118720000001,3.8870427750000003,9.8,13.06087335991724,6.280046623421101,0.04,USER@host-2,USER@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,71,5.873118720000001,3.8870427750000003,9.8,0.0,2.9702576288623486,0.05,USER@host-2,NONE@host-3
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,72,5.873118720000001,3.8870427750000003,9.8,3.838447732478793,3.0627838440129023,0.05,USER@host-2,NONE@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,73,5.873118720000001,3.8870427750000003,9.8,14.929644179512552,6.399643755162787,0.04,USER@host-2,USER@host-0
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,74,5.873118720000001,3.8870427750000003,9.8,15.962069357971052,6.471480483391725,0.04,USER@host-2,USER@host-9
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,75,5.873118720000001,3.8870427750000003,9.8,10.115992942196094,4.56537517042567,0.05,USER@host-2,NONE@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,76,5.873118720000001,3.8870427750000003,9.8,14.17205499513896,6.349509657090192,0.05,USER@host-2,NONE@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,77,5.873118720000001,3.8870427750000003,9.8,15.802674263592394,6.4601295873747135,0.04,USER@host-7,USER@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,78,5.873118720000001,3.8870427750000003,9.8,15.3091771896686,6.4255862472229355,0.04,USER@host-7,USER@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,79,5.873118720000001,3.8870427750000003,9.8,0.0,2.973934007222672,0.05,USER@host-7,NONE@host-3
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,80,5.873118720000001,3.8870427750000003,9.8,13.067221035806565,6.280429429495531,0.04,USER@host-7,USER@host-2
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,81,5.873118720000001,3.8870427750000003,9.8,3.8436402492749147,3.066046446577555,0.05,USER@host-7,NONE@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,82,5.873118720000001,3.8870427750000003,9.8,14.956090959228177,6.401433753610037,0.04,USER@host-7,USER@host-0
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,83,5.873118720000001,3.8870427750000003,9.8,15.978771406875886,6.472675309774649,0.04,USER@host-7,USER@host-9
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,84,5.873118720000001,3.8870427750000003,9.8,10.38974842014267,4.612694743957309,0.03,USER@host-7,NONE@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,85,5.873118720000001,3.8870427750000003,9.8,14.193646801708782,6.350907720793592,0.05,USER@host-7,NONE@host-5
